Date,Sun_Pos,Sun_Sign,Sun_Ret,Mon_Pos,Mon_Sign,Mon_Ret,Mar_Pos,Mar_Sign,Mar_Ret,Mer_Pos,Mer_Sign,Mer_Ret,Jup_Pos,Jup_Sign,Jup_Ret,Ven_Pos,Ven_Sign,Ven_Ret,Sat_Pos,Sat_Sign,Sat_Ret,Rah_Pos,Rah_Sign,Rah_Ret,Ket_Pos,Ket_Sign,Ket_Ret,Close,Close_T1
01-Jan-20,15.52,9,2,22,11,2,4.15,8,2,10.15,9,2,12.32,9,2,20.16,10,2,27.16,9,2,14.15,3,1,14.15,9,1,12182.5,12282.2002
02-Jan-20,16.54,9,2,3.53,12,2,4.55,8,2,11.5,9,2,12.46,9,2,21.3,10,2,27.23,9,2,14.15,3,1,14.15,9,1,12282.2002,12226.65039
03-Jan-20,17.55,9,2,15.45,12,2,5.36,8,2,13.24,9,2,13,9,2,22.43,10,2,27.3,9,2,14.15,3,1,14.15,9,1,12226.65039,11993.04981
04-Jan-20,18.56,9,2,27.42,12,2,6.16,8,2,15,9,2,13.14,9,2,23.57,10,2,27.37,9,2,14.15,3,1,14.15,9,1,11993.04981,12052.9502
05-Jan-20,19.57,9,2,9.47,1,2,6.56,8,2,16.35,9,2,13.27,9,2,25.1,10,2,27.44,9,2,14.15,3,1,14.15,9,1,12052.9502,12025.34961
06-Jan-20,20.58,9,2,22.06,1,2,7.37,8,2,18.11,9,2,13.41,9,2,26.24,10,2,27.51,9,2,14.16,3,1,14.16,9,1,12025.34961,12215.90039
07-Jan-20,21.59,9,2,4.42,2,2,8.17,8,2,19.48,9,2,13.55,9,2,27.37,10,2,27.58,9,2,14.17,3,1,14.17,9,1,12215.90039,12256.79981
08-Jan-20,23.01,9,2,17.38,2,2,8.58,8,2,21.25,9,2,14.09,9,2,28.5,10,2,28.05,9,2,14.17,3,1,14.17,9,1,12256.79981,12329.54981
09-Jan-20,24.02,9,2,0.57,3,2,9.38,8,2,23.02,9,2,14.22,9,2,0.03,11,2,28.12,9,2,14.18,3,1,14.18,9,1,12329.54981,12362.29981
10-Jan-20,25.03,9,2,14.36,3,2,10.19,8,2,24.39,9,2,14.36,9,2,1.16,11,2,28.19,9,2,14.18,3,1,14.18,9,1,12362.29981,12343.29981
11-Jan-20,26.04,9,2,28.36,3,2,10.59,8,2,26.17,9,2,14.5,9,2,2.29,11,2,28.26,9,2,14.18,3,1,14.18,9,1,12343.29981,12355.5
